"id","name","title","addedDate","bdr","company","source","status","link","phone","notes","email"
"2100","Cheryl Tremblay","Human Solutions Analyst","2025-07-22 14:54:16.552","Dan Reeves","Strategic Partners (Construction)","LinkedIn","New Lead",,"1-566-299-3370 x974","Lead from Construction industry via Referral","Leora88@gmail.com"
"2101","Darlene Wilderman","Central Web Director","2025-07-21 14:44:33.795","Rupert Kay","Advanced Analytics (Technology)","Partner","New Lead",,"859.430.3839 x11680","Lead from Technology industry via Website Form","Faye.Watsica@yahoo.com"
"2102","Elias Fahey","Senior Solutions Executive","2025-07-28 12:24:22.586","Rupert Kay","Digital Innovations Ltd (Marketing)","Cold Email","New Lead",,"215-671-0826 x5917","Lead from Marketing industry via Cold Call","Monica67@gmail.com"
"2103","Marie Anderson","Internal Interactions Associate","2025-06-25 14:29:07.92","Jennifer Davies","Strategic Partners (Technology)","Referral","New Lead",,"320.423.8461 x1879","Lead from Technology industry via Referral","Elda_Toy@yahoo.com"
"2104","Lamar Schowalter","Principal Functionality Executive","2025-06-16 15:44:34.059","Adel Mhiri","Performance Group (Hospitality)","Webinar","New Lead",,"973.804.9817 x23198","Lead from Hospitality industry via LinkedIn","Lindsey.Tromp@yahoo.com"
"2105","Terry Howe","Direct Group Analyst","2025-08-04 13:53:12.06","Rupert Kay","Advanced Analytics (Marketing)","Social Media","New Lead",,"524.208.9892 x104","Lead from Marketing industry via Partner","Theresa_Stark@yahoo.com"
"2106","Winifred Lockman","Internal Directives Executive","2025-06-12 11:26:29.883","Thomas Corcoran","TechCorp Solutions (Construction)","Website Form","New Lead",,"1-989-207-5197 x228","Lead from Construction industry via Cold Email","Sydni.Pfannerstill@yahoo.com"
"2107","Mr. Israel Powlowski","International Operations Assistant","2025-07-04 08:06:34.035","Rupert Kay","TechCorp Solutions (Manufacturing)","Content Marketing","New Lead",,"1-775-880-2195 x085","Lead from Manufacturing industry via Trade Show","Grayce.Hickle-Smitham51@hotmail.com"
"2108","Dr. Devin Fisher","Central Factors Liaison","2025-07-16 09:18:11.314","Dan Reeves","Data Solutions (Legal)","Website Form","New Lead",,"1-981-441-7054 x70845","Lead from Legal industry via Cold Email","Max.Flatley98@gmail.com"
"2109","Beverly Crona","Global Metrics Planner","2025-06-16 16:36:51.48","Thomas Hardy","TechCorp Solutions (Real Estate)","Webinar","New Lead",,"620-914-7718 x7706","Lead from Real Estate industry via Webinar","Loyce_Keeling96@yahoo.com"
"2110","Heather Monahan","Principal Infrastructure Consultant","2025-06-30 09:00:14.118","Jamie Waite","Advanced Analytics (Manufacturing)","Webinar","New Lead",,"760.394.0740 x48146","Lead from Manufacturing industry via Content Marketing","Yvette.Auer@gmail.com"
"2111","Rolando Koch DDS","Internal Marketing Orchestrator","2025-06-18 08:05:38.824","Adel Mhiri","NextGen Technologies (Real Estate)","Webinar","New Lead",,"507.209.8786 x321","Lead from Real Estate industry via Referral","Yoshiko.Schmitt36@hotmail.com"
"2112","Shelly Raynor","International Research Orchestrator","2025-08-04 13:19:59.65","Thomas Corcoran","Enterprise Solutions (Healthcare)","Partner","New Lead",,"(373) 880-9628","Lead from Healthcare industry via Content Marketing","Erick57@yahoo.com"
"2113","Donna Ledner","Product Implementation Designer","2025-06-16 13:19:57.941","Naeem Patel","Growth Partners (Construction)","Referral","Converted",,"1-519-592-2942 x0546","Lead from Construction industry via Social Media","Veda.Greenfelder@gmail.com"
"2114","Jamie Cummings","Corporate Metrics Facilitator","2025-07-30 11:59:28.202","Jamie Waite","TechCorp Solutions (Education)","Referral","New Lead",,"(585) 919-0427 x0249","Lead from Education industry via LinkedIn","Kelsie29@yahoo.com"
"2115","Bertha Kirlin","Legacy Branding Consultant","2025-07-29 10:44:49.091","Jess Collins","Digital Innovations Ltd (Technology)","Referral","New Lead",,"1-552-760-9155 x0767","Lead from Technology industry via Trade Show","Esmeralda.Ondricka@hotmail.com"
"2116","Ms. Yvette Spencer PhD","Chief Functionality Facilitator","2025-06-18 09:12:43.84","Verity Kay","TechCorp Solutions (Real Estate)","Website Form","New Lead",,"1-492-309-2853 x8258","Lead from Real Estate industry via Cold Email","Gregg_Ryan10@hotmail.com"
"2117","Wesley Effertz","Central Response Supervisor","2025-06-18 11:45:28.781","Rupert Kay","Smart Systems (Hospitality)","Referral","New Lead",,"232-222-8997","Lead from Hospitality industry via Website Form","Amya_Fisher@hotmail.com"
"2118","Myron Lesch MD","Future Assurance Orchestrator","2025-08-01 13:52:46.908","Thomas Hardy","NextGen Technologies (Healthcare)","Website Form","Converted",,"(646) 314-1248 x6975","Lead from Healthcare industry via Partner","Greyson_Wisozk@yahoo.com"
"2119","Shelly Schaden III","Regional Accountability Engineer","2025-07-07 09:52:45.956","Rupert Kay","Global Systems Inc (Retail)","Social Media","Converted",,"483.984.5306 x11649","Lead from Retail industry via Cold Email","Palma.Keeling@gmail.com"
"2120","Earnest McClure","Legacy Tactics Producer","2025-07-31 13:40:39.248","Thomas Corcoran","Smart Systems (Real Estate)","Cold Email","Converted",,"504-735-7073 x831","Lead from Real Estate industry via Cold Email","Vida.Heidenreich95@yahoo.com"
"2121","Janis Breitenberg","Investor Data Administrator","2025-07-24 13:32:23.951","Verity Kay","Enterprise Solutions (Hospitality)","Referral","Converted",,"(778) 211-8440","Lead from Hospitality industry via Cold Email","Orpha.Smitham@gmail.com"
"2122","Dr. Geoffrey Schuster DVM","Product Mobility Associate","2025-07-04 14:41:06.914","Dan Reeves","Prime Business Group (Construction)","Webinar","New Lead",,"1-719-590-1731","Lead from Construction industry via Social Media","Sister.Gerhold71@yahoo.com"
"2123","Sylvia Russel","Internal Infrastructure Consultant","2025-08-05 12:05:20.676","Jamie Waite","TechCorp Solutions (Real Estate)","Cold Call","New Lead",,"522-990-2997 x12197","Lead from Real Estate industry via Referral","Asha_Prosacco27@hotmail.com"
"2124","Thelma Streich","Corporate Response Coordinator","2025-07-14 08:22:58.36","Verity Kay","Global Systems Inc (Education)","Website Form","Converted",,"1-204-774-7994 x143","Lead from Education industry via Trade Show","Rosemarie.Collier-Howe47@gmail.com"
"2125","Antoinette O'Kon","Investor Applications Assistant","2025-07-14 10:12:58.189","Jess Collins","Global Systems Inc (Marketing)","LinkedIn","Converted",,"1-524-972-9391 x2039","Lead from Marketing industry via Cold Call","Beth_Braun@yahoo.com"
"2126","Ian Schimmel","Dynamic Implementation Manager","2025-06-09 16:55:43.761","Rupert Kay","Digital Innovations Ltd (Finance)","Content Marketing","New Lead",,"(970) 784-8255","Lead from Finance industry via Website Form","Maximillian.OKeefe68@gmail.com"
"2127","Duane Abshire II","Human Directives Executive","2025-06-27 16:24:08.718","Rupert Kay","Performance Group (Hospitality)","Partner","New Lead",,"551-855-7654 x41355","Lead from Hospitality industry via LinkedIn","Dovie.Schowalter20@hotmail.com"
"2128","Bernard Mills","International Operations Executive","2025-06-11 13:25:43.111","Gary Smith","Future Tech (Technology)","Website Form","Converted",,"703.345.2970 x3370","Lead from Technology industry via Webinar","Jalyn.Heller@gmail.com"
"2129","Gordon Jerde","Future Optimization Developer","2025-07-07 12:59:00.842","Gary Smith","Elite Consulting (Hospitality)","Partner","New Lead",,"1-970-604-4227","Lead from Hospitality industry via LinkedIn","Annetta.Lueilwitz@gmail.com"
"2130","April Jaskolski V","Principal Interactions Representative","2025-06-13 08:09:16.531","Dan Reeves","Performance Group (Consulting)","Webinar","New Lead",,"(577) 849-7803 x32878","Lead from Consulting industry via Social Media","Jedidiah.Langosh@gmail.com"
"2131","Roman Lynch","Principal Tactics Architect","2025-06-16 11:27:26.456","Adel Mhiri","Innovation Hub (Healthcare)","Social Media","New Lead",,"515-409-2825","Lead from Healthcare industry via Partner","Sierra95@hotmail.com"
"2132","Pablo Aufderhar","Central Quality Agent","2025-07-10 12:39:04.886","Stephen Vivian","Enterprise Solutions (Education)","LinkedIn","Converted",,"531.920.6878 x09150","Lead from Education industry via Partner","Filiberto.Rice@hotmail.com"
"2133","Franklin Streich","Product Quality Manager","2025-06-24 14:47:08.38","Stephen Vivian","Enterprise Solutions (Construction)","LinkedIn","New Lead",,"661.683.0143 x555","Lead from Construction industry via LinkedIn","Stefan42@yahoo.com"
"2134","Terrell Ferry","International Accounts Developer","2025-06-30 16:15:13.276","Jamie Waite","TechCorp Solutions (Marketing)","Content Marketing","New Lead",,"1-238-647-1392 x71797","Lead from Marketing industry via Website Form","Ari48@hotmail.com"
"2135","Naomi Walker","Investor Configuration Planner","2025-06-27 14:10:38.384","Gary Smith","Innovation Hub (Hospitality)","Website Form","Converted",,"528-295-6989 x763","Lead from Hospitality industry via Partner","Maximillia_Heaney87@hotmail.com"
"2136","Tracy Powlowski II","Human Division Strategist","2025-07-08 16:58:46.396","Stephen Vivian","Performance Group (Marketing)","Social Media","New Lead",,"672.561.9120 x403","Lead from Marketing industry via LinkedIn","Justice_Schmidt@yahoo.com"
"2137","Shane Mann-Keebler","Principal Infrastructure Consultant","2025-06-20 09:47:11.544","Gary Smith","NextGen Technologies (Finance)","Website Form","New Lead",,"983.824.3540 x47036","Lead from Finance industry via Social Media","Lupe_Waters70@yahoo.com"
"2138","Kristopher Cronin","Dynamic Division Architect","2025-06-23 13:58:58.13","Jennifer Davies","TechCorp Solutions (Construction)","Content Marketing","New Lead",,"(234) 588-1769 x0537","Lead from Construction industry via Content Marketing","Quinton_Bayer63@gmail.com"
"2139","Bonnie Rowe","International Tactics Representative","2025-06-10 15:38:03.613","Jennifer Davies","Global Systems Inc (Education)","Referral","New Lead",,"402-875-4613 x982","Lead from Education industry via Cold Call","Santos.Boehm@gmail.com"
"2140","Guy Rowe","Senior Functionality Analyst","2025-07-28 09:34:46.978","Stephen Vivian","Digital Innovations Ltd (Education)","Webinar","New Lead",,"(565) 769-4178 x99382","Lead from Education industry via Partner","Fanny_Nicolas@gmail.com"
"2141","Wilfred Schamberger","Central Brand Associate","2025-07-09 16:58:53.845","Rupert Kay","Business Dynamics (Manufacturing)","Cold Call","New Lead",,"(720) 267-8280","Lead from Manufacturing industry via Cold Email","Royce.Daugherty@yahoo.com"
"2142","Jo Little","Future Communications Planner","2025-06-16 13:13:04.713","Stephen Vivian","Future Tech (Hospitality)","Cold Email","New Lead",,"316.432.6549","Lead from Hospitality industry via Social Media","Ezra_Auer46@hotmail.com"
"2143","Roosevelt Feest","Lead Functionality Planner","2025-06-16 14:56:37.996","Stephen Vivian","NextGen Technologies (Finance)","Partner","Converted",,"442-648-7250 x886","Lead from Finance industry via Referral","Dayana.Goyette-Carroll@yahoo.com"
"2144","Mrs. Kristy Purdy-Brekke","Future Directives Engineer","2025-06-25 08:20:04.63","Jess Collins","Data Solutions (Hospitality)","Partner","New Lead",,"535.906.7341 x92382","Lead from Hospitality industry via Referral","Norwood40@gmail.com"
"2145","Michele Yost","Lead Paradigm Orchestrator","2025-06-12 12:07:19.496","Jennifer Davies","Elite Consulting (Retail)","Trade Show","New Lead",,"893-910-0954 x489","Lead from Retail industry via Website Form","Lowell87@gmail.com"
"2146","Terrence Ziemann","Senior Factors Liaison","2025-08-04 15:21:33.261","Jamie Waite","TechCorp Solutions (Hospitality)","Referral","New Lead",,"1-500-867-9543 x62524","Lead from Hospitality industry via Website Form","Danny.Zulauf@yahoo.com"
"2147","Ira Volkman","Central Paradigm Engineer","2025-08-04 16:15:27.65","Mark Cawston","Elite Consulting (Healthcare)","LinkedIn","New Lead",,"961-573-9018 x18977","Lead from Healthcare industry via Cold Call","Ford.Simonis82@gmail.com"
"2148","Jesus Auer","Legacy Markets Representative","2025-06-20 08:30:22.465","Stephen Vivian","Advanced Analytics (Finance)","Social Media","New Lead",,"864.948.0285","Lead from Finance industry via Webinar","Kathryn_Balistreri27@yahoo.com"
"2149","Ken Trantow","Forward Creative Representative","2025-06-13 09:19:45.772","Adel Mhiri","Advanced Analytics (Finance)","Webinar","New Lead",,"1-684-965-6457 x50925","Lead from Finance industry via Cold Call","Millie.Tremblay96@yahoo.com"
"2150","Mr. Homer Hickle DVM","Product Division Representative","2025-07-14 12:49:00.001","Rupert Kay","Growth Partners (Manufacturing)","Trade Show","Converted",,"(497) 435-2483 x522","Lead from Manufacturing industry via Partner","Otto68@gmail.com"
"2151","Mona Kling","Dynamic Directives Agent","2025-06-25 12:45:55.305","Jennifer Davies","Advanced Analytics (Manufacturing)","Website Form","New Lead",,"1-406-648-2315 x91389","Lead from Manufacturing industry via Content Marketing","Nannie.Gutkowski28@gmail.com"
"2152","Jean Hills II","Future Mobility Facilitator","2025-06-09 08:17:19.528","Jennifer Davies","Smart Systems (Construction)","Referral","New Lead",,"(739) 728-5171","Lead from Construction industry via Webinar","Mellie_Powlowski@yahoo.com"
"2153","Joann Wehner","Dynamic Marketing Manager","2025-06-10 13:16:29.257","Thomas Hardy","Performance Group (Hospitality)","Referral","New Lead",,"219.504.6561 x331","Lead from Hospitality industry via Referral","Breanne30@hotmail.com"
"2154","Lonnie Bashirian","Corporate Branding Consultant","2025-06-16 10:57:20.489","Gary Smith","TechCorp Solutions (Marketing)","Partner","New Lead",,"1-259-377-8394 x80497","Lead from Marketing industry via Social Media","Camille_Runte14@gmail.com"
"2155","Dr. Sally Rath","International Intranet Manager","2025-07-07 15:02:26.116","Stephen Vivian","Smart Systems (Marketing)","Referral","New Lead",,"1-839-549-7927","Lead from Marketing industry via Website Form","Haleigh96@hotmail.com"
"2156","Rita Grant","National Web Coordinator","2025-06-23 09:54:06.893","Dan Reeves","Global Systems Inc (Consulting)","Trade Show","Converted",,"1-757-270-5054 x523","Lead from Consulting industry via Webinar","Max69@yahoo.com"
"2157","Christina Daugherty","Chief Web Architect","2025-07-07 16:57:37.745","Mark Cawston","Growth Partners (Marketing)","Cold Call","New Lead",,"616.745.0823 x168","Lead from Marketing industry via Content Marketing","Michel73@gmail.com"
"2158","Lionel Feil","Human Data Engineer","2025-07-14 14:16:32.123","Jamie Waite","Advanced Analytics (Technology)","Cold Email","New Lead",,"(806) 870-1158 x560","Lead from Technology industry via Partner","Ariel_Bergnaum63@gmail.com"
"2159","Jaime Yost","Dynamic Accountability Executive","2025-07-10 13:40:23.318","Thomas Corcoran","Business Dynamics (Education)","Cold Email","New Lead",,"(613) 389-0257 x797","Lead from Education industry via Cold Call","Andreanne_Fisher13@hotmail.com"
"2160","Ricky Bartell","Human Applications Associate","2025-06-17 09:09:18.083","Naeem Patel","Digital Innovations Ltd (Healthcare)","Website Form","New Lead",,"(717) 798-2382 x532","Lead from Healthcare industry via Social Media","Dale.Hagenes@yahoo.com"
"2161","Roman Kuhn","Chief Web Designer","2025-07-28 10:57:42.264","Jamie Waite","Innovation Hub (Construction)","Partner","New Lead",,"730.275.7058 x25520","Lead from Construction industry via Cold Email","Kenyatta_Leannon@gmail.com"
"2162","Mamie Roberts","International Directives Associate","2025-07-04 10:32:25.237","Naeem Patel","Data Solutions (Healthcare)","Trade Show","New Lead",,"385-570-2197","Lead from Healthcare industry via Webinar","Shyann_Hahn3@hotmail.com"
"2163","Jody Gutmann","International Assurance Analyst","2025-06-16 09:39:27.531","Dan Reeves","Future Tech (Finance)","Website Form","New Lead",,"1-300-686-7905 x636","Lead from Finance industry via Partner","Pedro.Medhurst@gmail.com"
"2164","Gwendolyn Nitzsche","Senior Communications Supervisor","2025-06-23 14:01:35.665","Thomas Corcoran","Smart Systems (Healthcare)","LinkedIn","Converted",,"1-471-415-2969 x70858","Lead from Healthcare industry via Partner","Casimir_Howell@hotmail.com"
"2165","Alfredo Howe","Global Identity Consultant","2025-06-18 10:00:44.003","Dan Reeves","Business Dynamics (Technology)","Cold Email","New Lead",,"494-917-7497 x06115","Lead from Technology industry via Webinar","Jovani2@yahoo.com"
"2166","Janis Mosciski","Chief Implementation Specialist","2025-08-04 10:06:14.015","Mark Cawston","Performance Group (Finance)","Cold Email","Converted",,"269.558.0585","Lead from Finance industry via Partner","Jayda.Stanton22@yahoo.com"
"2167","Miss Renee Bergnaum","International Infrastructure Designer","2025-07-14 10:52:20.256","Jess Collins","Performance Group (Finance)","Referral","New Lead",,"325.205.1699 x5398","Lead from Finance industry via Referral","Efren4@gmail.com"
"2168","Orlando Keeling","Lead Optimization Consultant","2025-06-23 09:07:45.657","Gary Smith","Elite Consulting (Marketing)","Partner","New Lead",,"709.621.9076 x755","Lead from Marketing industry via Website Form","Walter_Conn@gmail.com"
"2169","Clayton Nader","Customer Tactics Engineer","2025-06-23 12:02:49.063","Thomas Corcoran","Business Dynamics (Construction)","Cold Email","New Lead",,"387-630-9344 x716","Lead from Construction industry via Trade Show","Judge_Altenwerth34@hotmail.com"
"2170","Doris Hickle","Product Functionality Engineer","2025-06-30 11:16:16.85","Mark Cawston","Elite Consulting (Construction)","Cold Email","New Lead",,"1-852-996-7479 x962","Lead from Construction industry via Cold Email","Beau_Hodkiewicz7@gmail.com"
"2171","Nina Pagac","Corporate Applications Orchestrator","2025-06-09 12:04:15.986","Thomas Hardy","NextGen Technologies (Hospitality)","Trade Show","New Lead",,"708-657-2849","Lead from Hospitality industry via LinkedIn","Amalia.Gulgowski@gmail.com"
"2172","Damon Farrell","National Tactics Liaison","2025-07-07 13:01:14.254","Gary Smith","Smart Systems (Construction)","Cold Email","New Lead",,"872-730-7123 x731","Lead from Construction industry via Social Media","Brandon_Pacocha86@gmail.com"
"2173","Herbert Goyette","Customer Markets Designer","2025-06-25 14:25:23.303","Jess Collins","Elite Consulting (Construction)","Cold Call","New Lead",,"564-232-5735","Lead from Construction industry via Content Marketing","Donnie_Wehner@yahoo.com"
"2174","Maxine Bode","Global Markets Officer","2025-06-05 16:26:41.309","Mark Cawston","Elite Consulting (Retail)","Webinar","New Lead",,"636.986.3666 x3881","Lead from Retail industry via Trade Show","Florence66@hotmail.com"
"2175","Joyce Ferry","National Infrastructure Director","2025-07-07 11:27:06.938","Mark Cawston","Elite Consulting (Finance)","Cold Call","New Lead",,"385.867.7221 x4767","Lead from Finance industry via Trade Show","Jameson_McDermott@yahoo.com"
"2176","Leroy Wyman","Legacy Accounts Orchestrator","2025-07-22 15:05:47.124","Stephen Vivian","Global Systems Inc (Hospitality)","Webinar","Converted",,"(652) 310-5593 x3598","Lead from Hospitality industry via Webinar","Alyson.Larkin@hotmail.com"
"2177","Melinda Olson III","Corporate Quality Architect","2025-06-25 08:01:08.1","Thomas Hardy","Enterprise Solutions (Real Estate)","Cold Call","New Lead",,"323.745.3059 x71928","Lead from Real Estate industry via Cold Email","Christine_Bashirian98@hotmail.com"
"2178","Leonard Cruickshank","Forward Data Agent","2025-06-18 12:26:58.557","Mark Cawston","Future Tech (Technology)","Cold Call","New Lead",,"209-490-6226 x7839","Lead from Technology industry via Cold Call","Garret.Yundt89@gmail.com"
"2179","Shannon Schmitt","Global Mobility Executive","2025-07-09 16:30:36.005","Dan Reeves","Prime Business Group (Real Estate)","Cold Call","Converted",,"(786) 629-2255 x989","Lead from Real Estate industry via Trade Show","Leanna14@yahoo.com"
"2180","Mr. Chad Bernhard","National Program Developer","2025-07-24 10:10:24.604","Adel Mhiri","TechCorp Solutions (Consulting)","Webinar","New Lead",,"885.241.1532 x644","Lead from Consulting industry via Website Form","Cordell.Lang@hotmail.com"
"2181","Simon Gislason","Dynamic Interactions Administrator","2025-08-04 08:46:16.181","Naeem Patel","Advanced Analytics (Finance)","LinkedIn","Converted",,"1-550-624-4970 x9071","Lead from Finance industry via Webinar","Jackson11@yahoo.com"
"2182","Billy Orn","Lead Quality Associate","2025-07-08 14:53:49.7","Gary Smith","Future Tech (Manufacturing)","Content Marketing","Converted",,"948-501-9644 x500","Lead from Manufacturing industry via Cold Email","Cyril2@yahoo.com"
"2183","Orville Batz","Lead Branding Director","2025-06-18 11:08:13.421","Jess Collins","Elite Consulting (Technology)","Referral","New Lead",,"1-863-647-1387","Lead from Technology industry via Trade Show","Zelma_Hayes@hotmail.com"
"2184","Earnest Connelly DVM","Regional Marketing Coordinator","2025-06-24 13:41:33.585","Thomas Corcoran","Digital Innovations Ltd (Finance)","Referral","New Lead",,"529-947-3807","Lead from Finance industry via Website Form","Anjali52@gmail.com"
"2185","Victoria Flatley","Investor Accounts Supervisor","2025-06-16 12:34:55.712","Naeem Patel","Growth Partners (Marketing)","Webinar","Converted",,"(302) 717-2761 x531","Lead from Marketing industry via Cold Call","Alessandro81@hotmail.com"
"2186","Tabitha Casper I","Direct Operations Developer","2025-07-08 14:47:20.528","Jamie Waite","Digital Innovations Ltd (Retail)","Partner","New Lead",,"980.912.6741 x2377","Lead from Retail industry via Content Marketing","Adrain.Littel@hotmail.com"
"2187","Peter McClure","Product Solutions Orchestrator","2025-07-09 15:57:34.167","Rupert Kay","Data Solutions (Technology)","Content Marketing","Converted",,"649.342.7147 x920","Lead from Technology industry via Webinar","Deonte_Upton37@hotmail.com"
"2188","Clint Barrows DVM","Dynamic Branding Director","2025-08-04 11:39:38.724","Naeem Patel","Future Tech (Construction)","Webinar","New Lead",,"1-640-232-5749 x4635","Lead from Construction industry via Webinar","Bettye_Stracke54@yahoo.com"
"2189","Valerie Kessler Sr.","Direct Applications Director","2025-07-09 08:05:45.328","Thomas Corcoran","Enterprise Solutions (Hospitality)","Partner","Converted",,"700-766-2402 x3488","Lead from Hospitality industry via Content Marketing","Athena.Gulgowski72@yahoo.com"
"2190","Sheldon Deckow","Regional Solutions Engineer","2025-06-27 13:26:52.4","Jennifer Davies","Business Dynamics (Finance)","LinkedIn","New Lead",,"300.656.3950","Lead from Finance industry via Social Media","Johathan_Wiegand85@hotmail.com"
"2191","Mr. Brian Zieme","Direct Marketing Representative","2025-07-09 14:01:27.363","Thomas Corcoran","Global Systems Inc (Real Estate)","Referral","New Lead",,"739.680.7736","Lead from Real Estate industry via LinkedIn","Roy.Nader24@hotmail.com"
"2192","Dr. Lois Nikolaus V","Dynamic Group Officer","2025-06-06 10:27:13.431","Dan Reeves","TechCorp Solutions (Hospitality)","Cold Call","New Lead",,"762-535-3907 x165","Lead from Hospitality industry via Cold Email","Jerrod.Mills@gmail.com"
"2193","Clifford Bins","Senior Factors Architect","2025-06-16 12:13:21.406","Verity Kay","Prime Business Group (Legal)","Referral","New Lead",,"(967) 697-5639","Lead from Legal industry via Cold Call","Sonny_Price53@yahoo.com"
"2194","Jay Gerlach","Principal Functionality Technician","2025-06-26 11:05:17.731","Jamie Waite","Elite Consulting (Education)","Trade Show","Converted",,"268-672-5677 x7073","Lead from Education industry via Cold Call","Joanne_Waelchi@hotmail.com"
"2195","Leigh VonRueden","International Implementation Strategist","2025-07-14 16:29:34.647","Jennifer Davies","Future Tech (Construction)","Trade Show","Converted",,"231-884-2199 x17577","Lead from Construction industry via LinkedIn","Liana_Mills-Tromp@yahoo.com"
"2196","Johanna Wiza II","Product Division Engineer","2025-07-09 12:07:06.038","Thomas Hardy","Innovation Hub (Hospitality)","Website Form","Converted",,"(559) 805-8710 x140","Lead from Hospitality industry via Partner","Carter17@gmail.com"
"2197","Miss Rachael Brakus","Principal Paradigm Architect","2025-06-16 11:20:06.671","Naeem Patel","Digital Innovations Ltd (Retail)","Partner","New Lead",,"662.785.8376 x348","Lead from Retail industry via Website Form","Ludie40@yahoo.com"
"2198","Judy Conn","Central Interactions Executive","2025-06-23 15:02:56.185","Adel Mhiri","Growth Partners (Marketing)","Cold Email","New Lead",,"(892) 565-7377 x73834","Lead from Marketing industry via Partner","Kyleigh.Marks75@gmail.com"
"2199","Dr. Wayne Parisian","Legacy Functionality Director","2025-06-25 09:27:29.722","Naeem Patel","Elite Consulting (Marketing)","Trade Show","New Lead",,"1-432-416-2952 x983","Lead from Marketing industry via LinkedIn","Cleve.Jerde@yahoo.com"
"2200","Franklin Bogisich","Forward Data Planner","2025-07-07 13:30:50.792","Adel Mhiri","Data Solutions (Construction)","Content Marketing","New Lead",,"(691) 365-3835 x6616","Lead from Construction industry via Social Media","Toy_Schmeler@yahoo.com"
"2201","Alonzo Boyle","National Applications Representative","2025-06-19 09:59:15.289","Verity Kay","Strategic Partners (Finance)","Content Marketing","New Lead",,"806.637.2438 x0122","Lead from Finance industry via Social Media","Alexandrea_Keeling54@yahoo.com"
"2202","Marlon Orn","Human Configuration Producer","2025-06-30 08:28:28.507","Jennifer Davies","Prime Business Group (Legal)","Cold Call","New Lead",,"320-475-9905 x16146","Lead from Legal industry via Referral","Wayne95@gmail.com"
"2203","Jodi Bartell","Chief Mobility Designer","2025-07-25 11:04:29.595","Rupert Kay","Business Dynamics (Technology)","Webinar","New Lead",,"1-625-810-7774","Lead from Technology industry via Referral","Phyllis37@yahoo.com"
"2204","Kirk Douglas","Product Research Consultant","2025-07-02 13:23:16.786","Jess Collins","Smart Systems (Finance)","Webinar","New Lead",,"(602) 365-5711 x75996","Lead from Finance industry via Content Marketing","Timmy.Pfeffer76@hotmail.com"
"2205","Dave Murray","Chief Assurance Orchestrator","2025-07-15 12:30:09.859","Naeem Patel","Digital Innovations Ltd (Retail)","Content Marketing","Converted",,"991-278-8864 x151","Lead from Retail industry via Cold Email","Johann_Koch@hotmail.com"
"2206","Mario Toy","National Metrics Facilitator","2025-07-14 12:50:19.605","Stephen Vivian","Enterprise Solutions (Consulting)","Webinar","New Lead",,"1-678-895-3070","Lead from Consulting industry via Social Media","Nicolette.Muller49@hotmail.com"
"2207","Alexandra Leffler","Senior Solutions Officer","2025-07-01 11:13:37.694","Mark Cawston","Business Dynamics (Hospitality)","LinkedIn","New Lead",,"1-761-901-1345","Lead from Hospitality industry via Webinar","Abelardo_Predovic@hotmail.com"
"2208","Virgil Friesen","Investor Paradigm Associate","2025-06-12 13:31:14.118","Thomas Corcoran","Growth Partners (Legal)","Social Media","New Lead",,"(787) 490-8794 x850","Lead from Legal industry via Webinar","Yesenia.Jones13@yahoo.com"
"2209","Mr. Harry Ullrich","Forward Metrics Developer","2025-07-18 14:38:36.345","Rupert Kay","Data Solutions (Finance)","LinkedIn","New Lead",,"393.620.6503 x17163","Lead from Finance industry via Trade Show","Wyman.Olson47@hotmail.com"
"2210","Dr. Mark Volkman","Customer Markets Engineer","2025-06-12 15:47:03.956","Thomas Hardy","TechCorp Solutions (Manufacturing)","Referral","New Lead",,"1-223-431-1068 x4999","Lead from Manufacturing industry via Webinar","Zoie.Will@yahoo.com"
"2211","Mrs. Tiffany Collins","District Implementation Supervisor","2025-06-20 11:12:23.049","Adel Mhiri","Growth Partners (Retail)","Trade Show","New Lead",,"630-551-9571 x627","Lead from Retail industry via Social Media","Christop22@gmail.com"
"2212","Benjamin Fay","District Web Engineer","2025-07-14 09:34:51.896","Jennifer Davies","Performance Group (Healthcare)","Webinar","New Lead",,"(245) 260-9058","Lead from Healthcare industry via Cold Call","Gregorio_Pfannerstill@gmail.com"
"2213","Mrs. Blanche Cremin","Chief Assurance Assistant","2025-06-27 10:05:33.102","Rupert Kay","Data Solutions (Consulting)","Cold Email","Converted",,"(472) 433-7350 x107","Lead from Consulting industry via Social Media","Gretchen62@gmail.com"
"2214","Allan Schoen","Direct Paradigm Consultant","2025-07-31 16:20:55.044","Stephen Vivian","Strategic Partners (Legal)","Website Form","New Lead",,"1-310-817-5847 x7438","Lead from Legal industry via Cold Email","Keira_Bauch@hotmail.com"
"2215","Jan McCullough","Central Markets Supervisor","2025-07-04 11:26:05.508","Verity Kay","Prime Business Group (Manufacturing)","Webinar","New Lead",,"969.510.6836 x9286","Lead from Manufacturing industry via Partner","Sigmund.Hirthe@yahoo.com"
"2216","Marsha Simonis","Corporate Infrastructure Associate","2025-07-18 13:00:33.736","Naeem Patel","Strategic Partners (Finance)","Webinar","New Lead",,"(347) 580-9579 x25021","Lead from Finance industry via Trade Show","Rogelio7@yahoo.com"
